pId,cId,effect, count
690205,3K,MATCH,20
690205,3K,NRCHANGE,6
690205,3K,NRMATCH,33
788262,3L,CHANGE,26
788262,3L,MATCH,14
788262,3L,NRCHANGE,6
788262,3L,NRMATCH,33
591371,3LM,CHANGE,9
591371,3LM,MATCH,32
591371,3LM,NRCHANGE,3
591371,3LM,NRMATCH,36
618707,3N,CHANGE,24
618707,3N,MATCH,15
618707,3N,NRCHANGE,7
618707,3N,NRMATCH,33
854812,3O,CHANGE,16
854812,3O,MATCH,24
854812,3O,NRCHANGE,12
854812,3O,NRMATCH,27
383463,3P,CHANGE,23
383463,3P,MATCH,19
383463,3P,NRCHANGE,9
383463,3P,NRMATCH,29
931664,3Q,CHANGE,20
931664,3Q,MATCH,24
931664,3Q,NRCHANGE,10
931664,3Q,NRMATCH,28
010085,3R,CHANGE,26
010085,3R,MATCH,15
010085,3R,NRCHANGE,10
010085,3R,NRMATCH,29
191490,3S,CHANGE,21
191490,3S,MATCH,19
191490,3S,NRCHANGE,4
191490,3S,NRMATCH,35
620985,3T,CHANGE,8
620985,3T,MATCH,33
620985,3T,NRCHANGE,2
620985,3T,NRMATCH,36
