"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"clothes","participants_turn",NA,NA,"NA","subject","collaboration","block1",141
"socket","valence","socket","face","MATCH","robot","collaboration","block1",142
"beach","participants_turn",NA,NA,"NA","subject","collaboration","block1",143
"couch","entrainment","sofa","couch","MATCH","robot","collaboration","block1",144
"flag","participants_turn",NA,NA,"NA","subject","collaboration","block1",145
"recycling","valence","rubbish bin","recycling bin","CHANGE","robot","collaboration","block1",146
"cart","participants_turn",NA,NA,"NA","subject","collaboration","block1",147
"sphere","entrainment","sphere","ball","CHANGE","robot","collaboration","block1",148
"berries","participants_turn",NA,NA,"NA","subject","collaboration","block1",149
"USB","entrainment","usb stick","memory stick","CHANGE","robot","collaboration","block1",150
"drink","participants_turn",NA,NA,"NA","subject","collaboration","block1",151
"touchpad","entrainment","tablet","touchscreen","MATCH","robot","collaboration","block1",152
"peach","participants_turn",NA,NA,"NA","subject","collaboration","block1",153
"drugs","valence","medicine","drugs","CHANGE","robot","collaboration","block1",154
"frog","participants_turn",NA,NA,"NA","subject","collaboration","block1",155
"microbes","valence","microorganism","germs","CHANGE","robot","collaboration","block1",156
"tree","participants_turn",NA,NA,"NA","subject","collaboration","block1",157
"dirt","valence","gravel","sand","MATCH","robot","collaboration","block1",158
"violin","participants_turn",NA,NA,"NA","subject","collaboration","block1",159
"robot","entrainment","android","robot","MATCH","robot","collaboration","block1",160
"router","participants_turn",NA,NA,"NA","subject","collaboration","block1",161
"woman","entrainment","lady","woman","MATCH","robot","collaboration","block1",162
"cross","participants_turn",NA,NA,"NA","subject","collaboration","block1",163
"house","valence","home","house","CHANGE","robot","collaboration","block1",164
"car","participants_turn",NA,NA,"NA","subject","collaboration","block1",165
"thief","entrainment","thief","robber","CHANGE","robot","collaboration","block1",166
"hen","participants_turn",NA,NA,"NA","subject","collaboration","block1",167
"king","valence","electric chair","king","MATCH","robot","collaboration","block1",168
"bat","participants_turn",NA,NA,"NA","subject","collaboration","block1",169
"rabbit","entrainment","rabbit","bunny","CHANGE","robot","collaboration","block1",170
"parking sp","participants_turn",NA,NA,"NA","subject","collaboration","block1",171
"marijuana","valence","leaf","weed","MATCH","robot","collaboration","block1",172
"pipe","participants_turn",NA,NA,"NA","subject","collaboration","block1",173
"laptop","entrainment","computer","laptop","CHANGE","robot","collaboration","block1",174
"plate","participants_turn",NA,NA,"NA","subject","collaboration","block1",175
"road","valence","avenue","highway","CHANGE","robot","collaboration","block1",176
"sink","participants_turn",NA,NA,"NA","subject","collaboration","block1",177
"city","valence","buildings","town","CHANGE","robot","collaboration","block1",178
"rocks","participants_turn",NA,NA,"NA","subject","collaboration","block1",179
"artist","entrainment","painter","artist","MATCH","robot","collaboration","block1",180
"doctor","participants_turn",NA,NA,"NA","subject","collaboration","block1",181
"baby","valence","sprog","kid","CHANGE","robot","collaboration","block1",182
"dunes","participants_turn",NA,NA,"NA","subject","collaboration","block1",183
"Q45","valence","pizza slice","concrete","MATCH","robot","collaboration","block1",184
"beans","participants_turn",NA,NA,"NA","subject","collaboration","block1",185
"ship","entrainment","ship","boat","CHANGE","robot","collaboration","block1",186
"bench","participants_turn",NA,NA,"NA","subject","collaboration","block1",187
"moth","valence","butterfly","insect","MATCH","robot","collaboration","block1",188
"flower","participants_turn",NA,NA,"NA","subject","collaboration","block1",189
"church","valence","church","cathedral","MATCH","robot","collaboration","block1",190
"Q60","participants_turn",NA,NA,"NA","subject","collaboration","block1",191
"cattle","entrainment","cattle","cows","CHANGE","robot","collaboration","block1",192
"door","participants_turn",NA,NA,"NA","subject","collaboration","block1",193
"factory","valence","pollution","factory","CHANGE","robot","collaboration","block1",194
"runners","participants_turn",NA,NA,"NA","subject","collaboration","block1",195
"priest","entrainment","priest","pastor","MATCH","robot","collaboration","block1",196
"branch","participants_turn",NA,NA,"NA","subject","collaboration","block1",197
