"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"pipe","participants_turn",NA,NA,"NA","subject","collaboration","block1",173
"people","valence","people","crowd","MATCH","robot","collaboration","block1",174
"plate","participants_turn",NA,NA,"NA","subject","collaboration","block1",175
"money","entrainment","money","coins","CHANGE","robot","collaboration","block1",176
"sink","participants_turn",NA,NA,"NA","subject","collaboration","block1",177
"factory","valence","pollution","factory","CHANGE","robot","collaboration","block1",178
"rocks","participants_turn",NA,NA,"NA","subject","collaboration","block1",179
"priest","entrainment","priest","pastor","MATCH","robot","collaboration","block1",180
"doctor","participants_turn",NA,NA,"NA","subject","collaboration","block1",181
"thief","entrainment","thief","robber","CHANGE","robot","collaboration","block1",182
"dunes","participants_turn",NA,NA,"NA","subject","collaboration","block1",183
"alligator","entrainment","alligator","crocodile","MATCH","robot","collaboration","block1",184
"beans","participants_turn",NA,NA,"NA","subject","collaboration","block1",185
"house","valence","home","house","CHANGE","robot","collaboration","block1",186
"bench","participants_turn",NA,NA,"NA","subject","collaboration","block1",187
"USB","entrainment","usb stick","memory stick","MATCH","robot","collaboration","block1",188
"flower","participants_turn",NA,NA,"NA","subject","collaboration","block1",189
"microbes","valence","germs","microorganism","MATCH","robot","collaboration","block1",190
"Q60","participants_turn",NA,NA,"NA","subject","collaboration","block1",191
"knife","entrainment","dagger","knife","MATCH","robot","collaboration","block1",192
"door","participants_turn",NA,NA,"NA","subject","collaboration","block1",193
"laptop","entrainment","computer","laptop","MATCH","robot","collaboration","block1",194
"runners","participants_turn",NA,NA,"NA","subject","collaboration","block1",195
"dog","valence","dog","wolf","CHANGE","robot","collaboration","block1",196
"branch","participants_turn",NA,NA,"NA","subject","collaboration","block1",197
"soldier","valence","soldier","gunman","MATCH","robot","collaboration","block1",198
"videogame","participants_turn",NA,NA,"NA","subject","collaboration","block1",199
"robot","entrainment","android","robot","CHANGE","robot","collaboration","block1",200
"athlete","participants_turn",NA,NA,"NA","subject","collaboration","block1",201
"cattle","entrainment","cattle","cows","CHANGE","robot","collaboration","block1",202
"cleaner","participants_turn",NA,NA,"NA","subject","collaboration","block1",203
"robot","entrainment","android","robot","CHANGE","robot","collaboration","block2",204
"programmer","participants_turn",NA,NA,"NA","subject","collaboration","block2",205
"recycling","valence","recycling bin","rubbish bin","MATCH","robot","collaboration","block2",206
"fireplace","participants_turn",NA,NA,"NA","subject","collaboration","block2",207
"boot","valence","shoe","work boot","MATCH","robot","collaboration","block2",208
"cave","participants_turn",NA,NA,"NA","subject","collaboration","block2",209
"drugs","valence","medicine","drugs","MATCH","robot","collaboration","block2",210
"pigeon","participants_turn",NA,NA,"NA","subject","collaboration","block2",211
"city","valence","town","buildings","CHANGE","robot","collaboration","block2",212
"barrels","participants_turn",NA,NA,"NA","subject","collaboration","block2",213
"teacher","entrainment","lecturer","teacher","CHANGE","robot","collaboration","block2",214
"cop","participants_turn",NA,NA,"NA","subject","collaboration","block2",215
"thief","entrainment","thief","robber","CHANGE","robot","collaboration","block2",216
"floppy","participants_turn",NA,NA,"NA","subject","collaboration","block2",217
"sphere","entrainment","sphere","ball","MATCH","robot","collaboration","block2",218
"wine","participants_turn",NA,NA,"NA","subject","collaboration","block2",219
"dirt","valence","gravel","sand","MATCH","robot","collaboration","block2",220
"clothes","participants_turn",NA,NA,"NA","subject","collaboration","block2",221
"baby","valence","sprog","kid","CHANGE","robot","collaboration","block2",222
"beach","participants_turn",NA,NA,"NA","subject","collaboration","block2",223
"priest","entrainment","priest","pastor","MATCH","robot","collaboration","block2",224
"flag","participants_turn",NA,NA,"NA","subject","collaboration","block2",225
"cup","entrainment","mug","cup","MATCH","robot","collaboration","block2",226
"cart","participants_turn",NA,NA,"NA","subject","collaboration","block2",227
"snake","entrainment","snake","serpent","CHANGE","robot","collaboration","block2",228
"berries","participants_turn",NA,NA,"NA","subject","collaboration","block2",229
"ship","entrainment","boat","ship","CHANGE","robot","collaboration","block2",230
"drink","participants_turn",NA,NA,"NA","subject","collaboration","block2",231
"soldier","valence","soldier","gunman","MATCH","robot","collaboration","block2",232
"peach","participants_turn",NA,NA,"NA","subject","collaboration","block2",233
"USB","entrainment","usb stick","memory stick","MATCH","robot","collaboration","block2",234
"frog","participants_turn",NA,NA,"NA","subject","collaboration","block2",235
"rabbit","entrainment","bunny","rabbit","CHANGE","robot","collaboration","block2",236
"tree","participants_turn",NA,NA,"NA","subject","collaboration","block2",237
"people","valence","people","crowd","MATCH","robot","collaboration","block2",238
"violin","participants_turn",NA,NA,"NA","subject","collaboration","block2",239
"road","valence","avenue","highway","MATCH","robot","collaboration","block2",240
"router","participants_turn",NA,NA,"NA","subject","collaboration","block2",241
"knife","entrainment","dagger","knife","MATCH","robot","collaboration","block2",242
"cross","participants_turn",NA,NA,"NA","subject","collaboration","block2",243
"touchpad","entrainment","tablet","touchscreen","CHANGE","robot","collaboration","block2",244
"car","participants_turn",NA,NA,"NA","subject","collaboration","block2",245
"artist","entrainment","artist","painter","MATCH","robot","collaboration","block2",246
"hen","participants_turn",NA,NA,"NA","subject","collaboration","block2",247
"laptop","entrainment","computer","laptop","MATCH","robot","collaboration","block2",248
"bat","participants_turn",NA,NA,"NA","subject","collaboration","block2",249
"church","valence","church","cathedral","CHANGE","robot","collaboration","block2",250
"parking sp","participants_turn",NA,NA,"NA","subject","collaboration","block2",251
"money","entrainment","money","coins","CHANGE","robot","collaboration","block2",252
