rabbit, rabbit, 4
rabbit, bunny, 3
rabbit, hare, 2
jacket, jacket, 4
jacket, leather jacket, 2
jacket, motorcycle jacket, 1
cop, policeman, 4
cop, police officer, 3
cop, sheriff, 1
cop, cop, 1
cop, pig, 1
cop, security guard, 1
doctor, doctor, 4
doctor, gp, 2
doctor, specialist, 1
doctor, medical professional, 1
referee, referee, 1
referee, winning ticket, 1
referee, lottery ticket, 1
referee, horse racing ticket, 1
referee, person, 1
referee, icon, 1
referee, ticket, 1
referee, winner, 1
referee, lotto, 1
referee, chocolate wheel, 1
referee, lucky number, 1
gun, gun, 4
gun, pistol, 3
gun, handgun, 2
gun, revolver, 1
gun, weapon, 1
gun, semi-automatic, 1
cart, trolley, 4
cart, cart, 1
cart, shopping trolley, 1
cart, shopping cart, 1
axe, axe, 3
axe, hatchet, 2
axe, axes, 1
axe, wood splitter, 1
parking sp, disabled parking, 3
parking sp, accessible parking, 1
parking sp, parking, 1
parking sp, diabled parking, 1
parking sp, mobility park, 1
parking sp, wheelchair park, 1
cleaner, cleaner, 4
cleaner, dustman, 1
cleaner, caretaker, 1
cleaner, janitor, 1
athlete, soccer, 3
athlete, football player, 1
athlete, kick, 2
athlete, ball, 2
athlete, play, 1
athlete, player, 1
athlete, football, 1
athlete, athlete, 1
athlete, sportsman, 1
shoe, shoe, 4
shoe, loafer, 1
shoe, slip ons, 1
shoe, vans, 1
shoe, slip-on, 1
shoe, karate shoe, 1
shoe, slip on shoe, 1
shoe, boat shoe, 1
shoe, deck shoe, 1
shoe, slipper, 1
floppy, floppy disk, 2
floppy, save, 2
floppy, storage, 1
floppy, file space, 1
floppy, floppy disc, 1
floppy, 3.5 inch disc, 1
floppy, disc, 1
floppy, disk, 1
floppy, floppy, 1
floppy, 3.5" floppy, 1
router, modem, 2
router, router, 4
router, wifi, 1
router, wireless router, 1
branch, plant, 1
branch, flower, 2
branch, flowers, 1
branch, blossom, 2
branch, weed, 1
ocean, scenery, 1
ocean, landscape, 1
ocean, beach, 4
ocean, summer, 1
ocean, sun, 1
ocean, sea, 2
ocean, sunny, 1
ocean, weather, 1
artist, painter, 3
artist, artist, 4
artist, painting, 1
dunes, no idea, 1
dunes, wtf, 1
dunes, sand dunes, 2
dunes, desert, 2
dunes, ??, 1
dunes, sandhills, 1
robot, robot, 4
robot, android, 2
robot, machine, 1
robot, droid, 1
robot, metal mickey, 1
recycling, wheely bin, 1
recycling, rubbish bin, 3
recycling, recycling bin, 1
recycling, wheelie bin, 3
recycling, ribbish bin, 1
recycling, bin, 1
moth, bug, 1
moth, butterfly, 4
moth, insect, 2
moth, moth, 1
moth, monarch, 1
man, man, 4
man, bearded man, 1
man, guy, 3
man, ashton kutcher, 1
man, hipster, 1
man, person, 1
man, male, 1
man, beard, 1
man, whiskers, 1
factory, factory, 3
factory, industry, 1
factory, manufacturer, 2
factory, pollution, 1
factory, castle, 1
factory, workshop, 1
teacher, teaching, 1
teacher, teacher, 3
teacher, lecturer, 2
teacher, tutor, 1
teacher, teach, 1
teacher, presenter, 1
teacher, instructor, 1
teacher, whiteboard, 1
teacher, pointer, 1
programmer, techie, 1
programmer, geek, 2
programmer, computer guy, 2
programmer, it worker, 1
programmer, sys admin, 1
programmer, computer scientist, 1
programmer, computer geek, 1
programmer, computer user, 1
videogame, gaming, 1
videogame, pacman, 4
videogame, consoles, 1
videogame, game, 1
videogame, videogames, 1
videogame, computer game, 2
videogame, console, 1
videogame, ghost, 1
videogame, nintendo, 1
videogame, playstation, 1
dirt, dirt, 3
dirt, soil, 2
dirt, pile, 1
dirt, heap, 1
dirt, gravel, 1
dirt, clay, 1
dirt, sand, 1
Q45, cement, 3
Q45, plaster, 2
Q45, concrete, 1
Q45, pizza, 1
Q45, pizza slice, 1
Q45, grout, 1
Q45, mud, 1
Q45, filler, 1
Q45, bog, 1
Q45, mortar, 1
