NECKLACE,633,606
NECTAR,556,523
NEEDLE,608,589
NEIGHBOUR,515,548
NEST,557,571
NEWSPAPER,576,616
NICKEL,597,572
NIGHTFALL,511,588
NIGHTGOWN,644,564
NIGHTINGALE,621,551
NOMAD,512,516
NOODLE,588,530
NOOSE,542,593
NOSE,628,605
NOTE,525,503
NOVEL,529,547
NOZZLE,555,513
NURSE,588,617
NURSERY,528,542
NUTMEG,586,526
OATMEAL,552,558
OCEAN,593,623
OFFICE,569,518
OFFICER,550,593
OLIVE,618,578
ONION,632,617
ORANGE,601,626
ORCHESTRA,578,619
ORCHID,599,597
ORGAN,596,576
ORNAMENT,615,594
OTTER,631,572
OVEN,593,599
OVERCOAT,611,552
OYSTER,573,521
PACKAGE,580,529
PAGE,571,555
PAINT,577,567
PAINTER,568,565
PALACE,579,612
PALM,596,555
PANTS,619,630
PAPER,599,590
PARADE,523,578
PARCEL,525,509
PARK,579,573
PARTNER,500,513
PASSAGE,558,525
PASSENGER,562,529
PASTE,559,529
PASTURE,562,562
PEACH,617,613
PEAR,634,590
PEARL,597,590
PEASANT,550,540
PEDAL,602,556
PELT,526,517
PENCIL,617,607
PENDULUM,583,605
PENICILLIN,590,501
PENNY,606,609
PEOPLE,540,548
PEPPER,591,587
PERFORMER,529,530
PERSON,562,562
PETAL,586,508
PHONE,624,587
PHOTOGRAPH,590,618
PHYSICIAN,573,572
PIANIST,565,608
PIANO,615,630
PICK,502,513
PICKLE,606,641
PICTURE,579,581
PIER,588,545
PIGEON,609,610
PILE,504,513
PILL,610,580
PILLOW,613,624
PIMPLE,579,617
PINE,592,617
PINEAPPLE,653,569
PIPE,602,598
PISTON,586,526
PLANE,535,556
PLANET,523,578
PLANK,592,598
PLANT,594,605
PLATE,595,527
PLATFORM,547,529
PLATTER,593,576
PLIERS,645,588
PLUG,558,583
PLUM,632,611
POCKET,578,558
POET,552,518
POISON,527,513
POLE,577,579
POLICEMAN,574,629
POLIO,555,561
POLLEN,584,526
POND,623,599
PONY,611,642
POOL,573,577
POPE,593,576
PORCH,596,586
PORK,585,522
PORT,531,546
PORTAL,545,505
PORTRAIT,570,565
POST,533,518
POSTER,592,600
POTATO,629,617
POUCH,568,513
POUND,515,553
POWDER,513,524
PRAIRIE,575,569
PRESIDENT,526,572
PRIEST,561,568
PRINCE,542,606
PRINCESS,568,547
PRISON,570,593
PRISONER,548,565
PROCESSION,500,534
PROFESSOR,549,587
PROFILE,510,572
PROJECTOR,548,584
PROMENADE,538,526
PROPELLER,593,599
PRUNE,611,578
PUDDING,593,588
PUDDLE,604,562
PULPIT,562,551
PUMP,556,556
PUNCH,548,527
PUPIL,570,572
PUPPY,623,635
PURSE,572,567
PYRAMID,615,613
QUAIL,600,505
QUART,504,545
QUARTER,509,531
QUEEN,537,612
QUILL,595,530
QUILT,613,554
RABBI,572,557
RABBIT,635,611
RACKET,562,530
RACKETEER,533,502
RACQUET,513,522
RADIO,615,613
RAIL,540,556
RAILROAD,579,596
RAIN,600,618
RAKE,597,550
RAMP,538,527
RANCH,561,519
RASH,523,520
RASPBERRY,594,636
RATTLE,549,554
RATTLESNAKE,586,611
RECORD,558,591
RECTANGLE,554,590
REED,564,520
REFEREE,554,564
REFRIGERATOR,574,612
REPTILE,578,579
REVOLVER,592,629
RIBBON,600,563
RICE,608,506
RIDGE,547,543
RIFLE,606,581
RING,593,601
RIVER,585,633
ROAD,583,609
ROBBER,545,549
ROBIN,637,615
ROCK,600,612
ROCKER,583,520
ROCKET,645,612
ROOF,586,604
ROOM,566,545
ROOT,558,565
ROPE,608,596
ROSE,608,623
RUBBER,596,599
RUBY,594,562
RUDDER,572,520
RULER,555,543
RUST,553,547
SACK,582,548
SADDLE,603,578
SAIL,567,597
SALAD,595,623
SALOON,575,608
SALT,594,570
SANDAL,609,613
SAPPHIRE,572,560
SARDINE,606,592
SATCHEL,593,580
SATIN,594,561
SAUCE,576,569
SAUCER,606,544
SAUERKRAUT,604,585
SAXOPHONE,624,602
SCAB,559,573
SCAR,552,565
SCHOOL,573,599
SCHOOLHOUSE,586,544
SCISSORS,596,609
SCOOTER,565,569
SCORPION,590,596
SCOTCH,583,590
SCOUT,562,578
SCRATCH,523,543
SCROLL,593,572
SEAL,587,563
SEAM,538,555
SEAT,568,574
SEAWEED,593,590
SECRETARY,576,563
SEED,611,542
SERF,507,500
SERGEANT,511,549
SERVANT,515,508
SETTLER,533,528
SEWER,564,538
SHARK,611,602
SHAWL,606,576
SHED,611,602
SHEEP,622,596
SHEEPSKIN,600,566
SHEET,608,594
SHELL,597,581
SHIELD,576,556
SHIP,615,612
SHIRT,616,612
SHOE,600,601
SHOP,549,561
SHORE,574,624
SHOULDER,589,577
SHOVEL,581,538
SHOWER,588,615
SHRIMP,629,618
SHRUB,588,556
SHUTTER,562,533
SIGN,520,534
SILK,538,510
SILVER,564,582
SINGER,553,575
SINK,590,599
SIREN,538,578
SISTER,575,613
SIXPENCE,583,602
SKATE,562,563
SKETCH,535,510
SKIN,614,638
SKIRT,614,573
SKULL,570,609
SKUNK,648,652
SKYLARK,614,548
SKYSCRAPER,618,577
SLAP,511,542
SLAVE,539,564
SLEET,538,547
SLEEVE,587,550
SLEIGH,613,608
SLIME,545,558
SLIPPER,585,595
SLIT,520,508
SLOPE,513,578
SLUSH,570,567
SMILE,514,615
SMOKE,541,615
SNAIL,579,577
SNAKE,621,627
SNEEZE,563,562
SNOW,618,597
SOAP,598,600
SOCCER,524,570
SOCK,581,553
SODA,600,544
SOFA,629,597
SOIL,581,566
SOLDIER,578,578
SONG,514,578
SOOT,563,531
SOUP,615,604
SPADE,565,578
SPARK,526,539
SPARROW,629,583
SPATULA,586,517
SPEAKER,537,549
SPEAR,584,545
SPERM,578,548
SPICE,590,592
SPIDER,607,597
SPIKE,572,573
SPINACH,589,606
SPIRE,576,541
SPONGE,597,577
SPOOL,565,552
SPOON,614,584
SPRAY,514,559
SPRING,524,585
SPRUCE,568,532
SQUARE,516,610
SQUIRREL,612,642
STABLE,562,537
STADIUM,569,586
STAIN,535,533
STAIR,558,551
STAKE,540,506
STAR,574,623
STATION,572,554
STATUE,600,562
STEAK,646,647
STEAM,552,591
STEAMER,591,616
STEEL,586,534
STEEPLE,561,559
STEM,556,533
STEW,603,587
STICK,604,517
STING,509,553
STOCKING,551,555
STOMACH,617,551
STONE,614,585
STOOL,592,584
STORE,548,506
STORK,614,570
STORM,527,587
STOVE,591,592
STRAW,603,568
STRAWBERRY,610,631
STREAMER,518,504
STREET,579,577
STRING,570,556
STRIPE,550,562
STUDENT,549,603
SUBMARINE,583,588
SUDS,554,565
SUGAR,620,595
SUIT,545,536
SULPHUR,591,561
SULTAN,563,541
SUNBURN,563,629
SUNLIGHT,515,643
SUNSET,525,633
SUNSHINE,527,655
SUPPER,563,590
SURF,527,601
SWAMP,570,600
SWEAT,569,560
SWORD,577,597
SYCAMORE,606,562
TABLE,604,582
TABLESPOON,587,600
TACK,565,546
TAIL,613,551
TANGERINE,645,625
TANK,581,563
TAPE,564,573
TEACHER,569,575
TEAR,504,550
TEETH,618,611
TELEGRAPH,547,518
TELEPHONE,619,655
TELESCOPE,592,596
TEMPLE,565,547
TENNIS,574,634
TENT,608,593
TEST,520,528
THERMOMETER,612,581
THICKET,571,511
THIEF,519,529
THIMBLE,529,570
THISTLE,611,624
THORN,586,600
THREAD,607,568
THROAT,578,561
THUMB,638,599
THUNDER,547,554
TICKET,590,574
TIDE,516,530
TIGER,611,606
TIMBER,578,553
TIMEPIECE,577,568
TIRE,563,511
TOAD,568,591
TOAST,582,594
TOASTER,579,580
TOBACCO,609,601
TOILET,586,603
TOMAHAWK,586,619
TOMATO,662,610
TOMB,573,596
TONGUE,634,621
TOOL,570,538
TOOTH,619,624
TORNADO,644,591
TORTOISE,602,539
TOURIST,533,577
TOWER,585,596
TOWN,556,553
TRACTOR,590,585
TRAIL,511,525
TRAILER,597,587
TRAIN,592,593
TRAPEZE,609,552
TRASH,588,599
TRAY,590,550
TREE,604,622
TRELLIS,574,544
TRIANGLE,523,597
TRIBE,504,515
TRIPOD,577,574
TROLLEY,579,585
TROMBONE,606,579
TROUT,617,617
TRUCK,595,621
TRUMPET,608,628
TRUNK,596,529
TUBE,581,564
TULIP,619,641
TUNIC,563,508
TUNNEL,555,578
TURPENTINE,604,587
TURTLE,644,564
TUSK,580,538
TWEED,570,540
TWEEZERS,590,619
TWIG,559,555
TYPEWRITER,611,615
TYPHOON,542,536
ULCER,558,516
UMBRELLA,606,592
UMPIRE,581,572
UNCLE,580,574
UNDERGRADUATE,500,518
UNIFORM,550,591
UNIVERSITY,533,615
URCHIN,568,529
UTENSIL,567,534
VALLEY,575,600
VASE,595,563
VAULT,550,550
VEAL,528,519
VEGETABLE,602,598
VEHICLE,558,593
VEIL,560,516
VEIN,553,546
VELVET,580,569
VESSEL,571,525
VEST,575,581
VESTIBULE,577,530
VILLAGE,576,578
VINE,601,564
VINEGAR,645,562
VIOLET,541,560
VIOLIN,626,606
VODKA,576,613
VOLCANO,591,627
WAIST,563,530
WALL,589,576
WALLET,584,617
WALNUT,642,590
WALRUS,629,590
WAND,570,513
WARBLER,570,541
WAREHOUSE,578,502
WARRIOR,525,553
WATER,616,632
WEAPON,560,546
WEED,600,596
WENCH,542,520
WHALE,610,623
WHEAT,594,577
WHEEL,573,576
WHIP,570,579
WHISKER,560,542
WHISKEY,604,592
WHISTLE,579,574
WICK,599,535
WIDOW,547,505
WIFE,562,575
WIGWAM,583,593
WILDERNESS,512,564
WILLOW,589,565
WIND,552,535
WINDOW,609,602
WINE,621,624
WING,595,584
WINK,515,501
WIRE,585,564
WITCH,522,589
WOLF,595,610
WOMAN,580,626
WOMB,538,529
WOOD,606,577
WOODLAND,585,608
WOOL,608,586
WORLD,532,560
WORM,611,578
WOUND,561,570
WRECK,505,595
WREN,629,551
YACHT,606,624
YARD,553,568
YAWN,502,545
YOKE,542,514
YOLK,593,530
ZIPPER,599,632
